id	name	description	classes	genes_external_ids	diseases_ids	drugs_ids	compounds_ids
mmu00562	Inositol phosphate metabolism		Metabolism;Carbohydrate metabolism	10090.ENSMUSP00000111479;10090.ENSMUSP00000099040;10090.ENSMUSP00000110248;10090.ENSMUSP00000034396;10090.ENSMUSP00000099468;10090.ENSMUSP00000122422;10090.ENSMUSP00000022563;10090.ENSMUSP00000043851;10090.ENSMUSP00000108771;10090.ENSMUSP00000036162;10090.ENSMUSP00000072134;10090.ENSMUSP00000069284;10090.ENSMUSP00000031081;10090.ENSMUSP00000026270;10090.ENSMUSP00000045910;10090.ENSMUSP00000100964;10090.ENSMUSP00000025800;10090.ENSMUSP00000102852;10090.ENSMUSP00000051282;10090.ENSMUSP00000001202;10090.ENSMUSP00000092375;10090.ENSMUSP00000119485;10090.ENSMUSP00000113308;10090.ENSMUSP00000079164;10090.ENSMUSP00000029201;10090.ENSMUSP00000101315;10090.ENSMUSP00000035037;10090.ENSMUSP00000062864;10090.ENSMUSP00000013807;10090.ENSMUSP00000127941;10090.ENSMUSP00000048057;10090.ENSMUSP00000126092;10090.ENSMUSP00000107499;10090.ENSMUSP00000076911;10090.ENSMUSP00000110583;10090.ENSMUSP00000044466;10090.ENSMUSP00000095314;10090.ENSMUSP00000039598;10090.ENSMUSP00000013970;10090.ENSMUSP00000006912;10090.ENSMUSP00000018691;10090.ENSMUSP00000105743;10090.ENSMUSP00000025912;10090.ENSMUSP00000105736;10090.ENSMUSP00000099583;10090.ENSMUSP00000010804;10090.ENSMUSP00000099366;10090.ENSMUSP00000027362;10090.ENSMUSP00000130604;10090.ENSMUSP00000099404;10090.ENSMUSP00000079991;10090.ENSMUSP00000032356;10090.ENSMUSP00000081122;10090.ENSMUSP00000101256;10090.ENSMUSP00000025403;10090.ENSMUSP00000068174;10090.ENSMUSP00000032920;10090.ENSMUSP00000019283;10090.ENSMUSP00000027271;10090.ENSMUSP00000026550;10090.ENSMUSP00000006286;10090.ENSMUSP00000046625;10090.ENSMUSP00000025827;10090.ENSMUSP00000069851;10090.ENSMUSP00000028758;10090.ENSMUSP00000003850;10090.ENSMUSP00000046027;10090.ENSMUSP00000078240;10090.ENSMUSP00000021817;10090.ENSMUSP00000023282;10090.ENSMUSP00000082288;10090.ENSMUSP00000130858			C00024;C00092;C00111;C00118;C00137;C00191;C00222;C00558;C00641;C00691;C01177;C01194;C01204;C01220;C01243;C01245;C01272;C01277;C01284;C03546;C03659;C03660;C04006;C04062;C04063;C04287;C04477;C04520;C04549;C04563;C04579;C04637;C05981;C06153;C06892;C06893;C11554;C11555;C11556;C11557;C16737;C19794;C19799;C19891;C20251;C21643;C21644
mmu00190	Oxidative phosphorylation		Metabolism;Energy metabolism	10090.ENSMUSP00000080991;10090.ENSMUSP00000080992;10090.ENSMUSP00000080998;10090.ENSMUSP00000081000;10090.ENSMUSP00000081021;10090.ENSMUSP00000081001;10090.ENSMUSP00000081002;10090.ENSMUSP00000027111;10090.ENSMUSP00000013737;10090.ENSMUSP00000005647;10090.ENSMUSP00000022286;10090.ENSMUSP00000030401;10090.ENSMUSP00000022097;10090.ENSMUSP00000101003;10090.ENSMUSP00000074600;10090.ENSMUSP00000042967;10090.ENSMUSP00000121557;10090.ENSMUSP00000049000;10090.ENSMUSP00000016571;10090.ENSMUSP00000014438;10090.ENSMUSP00000075953;10090.ENSMUSP00000031637;10090.ENSMUSP00000042185;10090.ENSMUSP00000023851;10090.ENSMUSP00000023085;10090.ENSMUSP00000039692;10090.ENSMUSP00000065352;10090.ENSMUSP00000085523;10090.ENSMUSP00000027478;10090.ENSMUSP00000033157;10090.ENSMUSP00000002452;10090.ENSMUSP00000136313;10090.ENSMUSP00000105796;10090.ENSMUSP00000114095;10090.ENSMUSP00000027193;10090.ENSMUSP00000023514;10090.ENSMUSP00000114963;10090.ENSMUSP00000092746;10090.ENSMUSP00000037341;10090.ENSMUSP00000026222;10090.ENSMUSP00000022980;10090.ENSMUSP00000043543;10090.ENSMUSP00000112320;10090.ENSMUSP00000038463;10090.ENSMUSP00000032882;10090.ENSMUSP00000022062;10090.ENSMUSP00000010007;10090.ENSMUSP00000106968;10090.ENSMUSP00000000175;10090.ENSMUSP00000045284;10090.ENSMUSP00000081003;10090.ENSMUSP00000023210;10090.ENSMUSP00000026743;10090.ENSMUSP00000033176;10090.ENSMUSP00000077744;10090.ENSMUSP00000021993;10090.ENSMUSP00000053145;10090.ENSMUSP00000054856;10090.ENSMUSP00000020372;10090.ENSMUSP00000040138;10090.ENSMUSP00000080997;10090.ENSMUSP00000080993;10090.ENSMUSP00000080994;10090.ENSMUSP00000034276;10090.ENSMUSP00000105446;10090.ENSMUSP00000000090;10090.ENSMUSP00000038961;10090.ENSMUSP00000047661;10090.ENSMUSP00000033049;10090.ENSMUSP00000075150;10090.ENSMUSP00000064988;10090.ENSMUSP00000014457;10090.ENSMUSP00000034881;10090.ENSMUSP00000096193;10090.ENSMUSP00000033582;10090.ENSMUSP00000060890;10090.ENSMUSP00000115419;10090.ENSMUSP00000040717;10090.ENSMUSP00000026561;10090.ENSMUSP00000056155;10090.ENSMUSP00000020851;10090.ENSMUSP00000041820;10090.ENSMUSP00000054086;10090.ENSMUSP00000072829;10090.ENSMUSP00000028430;10090.ENSMUSP00000026495;10090.ENSMUSP00000026459;10090.ENSMUSP00000110547;10090.ENSMUSP00000101006;10090.ENSMUSP00000016396;10090.ENSMUSP00000023677;10090.ENSMUSP00000080996;10090.ENSMUSP00000113022;10090.ENSMUSP00000103312;10090.ENSMUSP00000136537;10090.ENSMUSP00000018914;10090.ENSMUSP00000102147;10090.ENSMUSP00000051222;10090.ENSMUSP00000125504;10090.ENSMUSP00000047960;10090.ENSMUSP00000023608;10090.ENSMUSP00000080995;10090.ENSMUSP00000110314;10090.ENSMUSP00000006435;10090.ENSMUSP00000006431;10090.ENSMUSP00000022904;10090.ENSMUSP00000020884;10090.ENSMUSP00000021536;10090.ENSMUSP00000019354;10090.ENSMUSP00000065285;10090.ENSMUSP00000004396;10090.ENSMUSP00000069482;10090.ENSMUSP00000048770;10090.ENSMUSP00000027643;10090.ENSMUSP00000040756;10090.ENSMUSP00000044838;10090.ENSMUSP00000039737;10090.ENSMUSP00000120531;10090.ENSMUSP00000039381;10090.ENSMUSP00000024932;10090.ENSMUSP00000047682;10090.ENSMUSP00000013304;10090.ENSMUSP00000029900;10090.ENSMUSP00000127552;10090.ENSMUSP00000044110;10090.ENSMUSP00000019231;10090.ENSMUSP00000005692;10090.ENSMUSP00000033826;10090.ENSMUSP00000007340;10090.ENSMUSP00000020286;10090.ENSMUSP00000029644;10090.ENSMUSP00000033241			C00001;C00002;C00003;C00004;C00007;C00008;C00009;C00013;C00042;C00061;C00080;C00122;C00390;C00399;C00524;C00536
mmu00910	Nitrogen metabolism	The biological process of the nitrogen cycle is a complex interplay among many microorganisms catalyzing different reactions, where nitrogen is found in various oxidation states ranging from +5 in nitrate to -3 in ammonia. The core nitrogen cycle involves four reduction pathways and two oxidation pathways. Nitrogen fixation [MD:M00175] is the process of reducing atmospheric molecular nitrogen to ammonia, a biologically useful reduced form incorporated into amino acids and other vital compounds. The ability of fixing atmospheric nitrogen by the nitrogenase enzyme complex is present in restricted prokaryotes (diazotrophs). The other reduction pathways are assimilatory nitrate reduction [MD:M00531] and dissimilatory nitrate reduction [MD:M00530] both for conversion to ammonia, and denitrification [MD:M00529]. Denitrification is a respiration in which nitrate or nitrite is reduced as a terminal electron acceptor under low oxygen or anoxic conditions, producing gaseous nitrogen compounds (N2, NO and N2O) to the atmosphere. The two oxidation pathways are nitrification [MD:M00528] and anaerobic ammonium oxidation (anammox). Nitrification is the oxidation of ammonia (NH3) with oxygen into nitrite followed by the oxidation of nitrite into nitrate. The first step is performed by ammonia-oxidizing microorganisms (e.g., Nitrosomonas and Nitrosococcus) and the second step by nitrite-oxidizing microorganisms (e.g., Nitrobacter). Anammox is a biochemical process of oxidizing ammonium (NH4+) into dinitrogen gas (N2) using nitrite as an electron acceptor. It occurs in the anammoxosome, a membrane bound compartment inside the cytoplasm, of anammox bacteria (e.g., Planctomycetes).	Metabolism;Energy metabolism	10090.ENSMUSP00000022322;10090.ENSMUSP00000083375;10090.ENSMUSP00000027144;10090.ENSMUSP00000029076;10090.ENSMUSP00000060457;10090.ENSMUSP00000030817;10090.ENSMUSP00000036983;10090.ENSMUSP00000033739;10090.ENSMUSP00000091925;10090.ENSMUSP00000030183;10090.ENSMUSP00000071786;10090.ENSMUSP00000052136;10090.ENSMUSP00000063511;10090.ENSMUSP00000113400;10090.ENSMUSP00000029071;10090.ENSMUSP00000029078;10090.ENSMUSP00000099483			C00011;C00014;C00025;C00058;C00064;C00088;C00169;C00192;C00244;C00288;C00488;C00533;C00697;C00726;C00887;C01417;C01563;C05361;C06058
mmu00920	Sulfur metabolism	Sulfur is an essential element for life and the metabolism of organic sulfur compounds plays an important role in the global sulfur cycle. Sulfur occurs in various oxidation states ranging from +6 in sulfate to -2 in sulfide (H2S). Sulfate reduction can occur in both an energy consuming assimilatory pathway and an energy producing dissimilatory pathway. The assimilatory pathway, which is found in a wide range of organisms, produces reduced sulfur compounds for the biosynthesis of S-containing amino acids and does not lead to direct excretion of sulfide. In the dissimilatory pathway, which is restricted to obligatory anaerobic bacterial and archaeal lineages, sulfate (or sulfur) is the terminal electron acceptor of the respiratory chain producing large quantities of inorganic sulfide. Both pathways start from the activation of sulfate by reaction with ATP to form adenylyl sulfate (APS). In the assimilatory pathway [MD:M00176] APS is converted to 3'-phosphoadenylyl sulfate (PAPS) and then reduced to sulfite, and sulfite is further reduced to sulfide by the assimilatory sulfite reductase. In the dissimilatory pathway [MD:M00596] APS is directly reduced to sulfite, and sulfite is further reduced to sulfide by the dissimilatory sulfite reductase. The capacity for oxidation of sulfur is quite widespread among bacteria and archaea, comprising phototrophs and chemolithoautotrophs. The SOX (sulfur-oxidation) system [MD:M00595] is a well-known sulfur oxidation pathway and is found in both photosynthetic and non-photosynthetic sulfur-oxidizing bacteria. Green sulfur bacteria and purple sulfur bacteria carry out anoxygenic photosynthesis with reduced sulfur compounds such as sulfide and elemental sulfur, as well as thiosulfate (in some species with the SOX system), as the electron donor for photoautotrophic growth. In some chemolithoautotrophic sulfur oxidizers (such as Thiobacillus denitrificans), it has been suggested that dissimilatory sulfur reduction enzymes operate in the reverse direction, forming a sulfur oxidation pathway from sulfite to APS and then to sulfate.	Metabolism;Energy metabolism	10090.ENSMUSP00000025833;10090.ENSMUSP00000029666;10090.ENSMUSP00000027916;10090.ENSMUSP00000082013;10090.ENSMUSP00000056195;10090.ENSMUSP00000106133;10090.ENSMUSP00000076433;10090.ENSMUSP00000043061;10090.ENSMUSP00000055743;10090.ENSMUSP00000088358;10090.ENSMUSP00000088349			C00033;C00042;C00053;C00054;C00059;C00065;C00084;C00087;C00094;C00097;C00155;C00224;C00245;C00263;C00283;C00320;C00409;C00580;C00979;C01118;C01861;C02084;C03920;C04022;C08276;C11142;C11143;C11145;C15521;C17267;C19692;C20870;C20955
mmu00061	Fatty acid biosynthesis		Metabolism;Lipid metabolism	10090.ENSMUSP00000099490;10090.ENSMUSP00000099642;10090.ENSMUSP00000015160;10090.ENSMUSP00000051569;10090.ENSMUSP00000052872;10090.ENSMUSP00000022311;10090.ENSMUSP00000034058;10090.ENSMUSP00000038069;10090.ENSMUSP00000136494;10090.ENSMUSP00000030742;10090.ENSMUSP00000110739;10090.ENSMUSP00000034046;10090.ENSMUSP00000033634;10090.ENSMUSP00000104533;10090.ENSMUSP00000045291;10090.ENSMUSP00000046585;10090.ENSMUSP00000042352;10090.ENSMUSP00000034822;10090.ENSMUSP00000025048			C00024;C00083;C00154;C00173;C00229;C00249;C00383;C00638;C00685;C00693;C00712;C01203;C01209;C01271;C01530;C01571;C02679;C02843;C03939;C04088;C04180;C04246;C04618;C04619;C04620;C04633;C04688;C05223;C05744;C05745;C05746;C05747;C05748;C05749;C05750;C05751;C05752;C05753;C05754;C05755;C05756;C05757;C05758;C05759;C05760;C05761;C05762;C05763;C05764;C06423;C06424;C08362;C16219;C16220;C16221;C16520;C20683;C20794
mmu00062	Fatty acid elongation		Metabolism;Lipid metabolism	10090.ENSMUSP00000037348;10090.ENSMUSP00000110434;10090.ENSMUSP00000029610;10090.ENSMUSP00000120976;10090.ENSMUSP00000026538;10090.ENSMUSP00000030742;10090.ENSMUSP00000030412;10090.ENSMUSP00000131243;10090.ENSMUSP00000006557;10090.ENSMUSP00000021793;10090.ENSMUSP00000036357;10090.ENSMUSP00000034796;10090.ENSMUSP00000034904;10090.ENSMUSP00000071351;10090.ENSMUSP00000022207;10090.ENSMUSP00000028619;10090.ENSMUSP00000060462;10090.ENSMUSP00000110401;10090.ENSMUSP00000119411;10090.ENSMUSP00000044955;10090.ENSMUSP00000126448;10090.ENSMUSP00000021649;10090.ENSMUSP00000021653;10090.ENSMUSP00000042019;10090.ENSMUSP00000021652;10090.ENSMUSP00000074827;10090.ENSMUSP00000062841;10090.ENSMUSP00000029794			C00024;C00040;C00083;C00136;C00154;C00162;C00249;C00264;C00605;C00638;C00640;C00658;C01832;C01944;C02593;C02843;C03221;C05258;C05259;C05260;C05261;C05262;C05263;C05264;C05265;C05266;C05267;C05268;C05269;C05270;C05271;C05272;C05273;C05274;C05275;C05276;C20876;C20877;C20878;C20879
mmu00071	Fatty acid degradation		Metabolism;Lipid metabolism	10090.ENSMUSP00000007005;10090.ENSMUSP00000034547;10090.ENSMUSP00000045912;10090.ENSMUSP00000042351;10090.ENSMUSP00000010795;10090.ENSMUSP00000037348;10090.ENSMUSP00000110434;10090.ENSMUSP00000029610;10090.ENSMUSP00000120976;10090.ENSMUSP00000023559;10090.ENSMUSP00000026538;10090.ENSMUSP00000063412;10090.ENSMUSP00000063325;10090.ENSMUSP00000031524;10090.ENSMUSP00000072483;10090.ENSMUSP00000027153;10090.ENSMUSP00000015829;10090.ENSMUSP00000099634;10090.ENSMUSP00000003907;10090.ENSMUSP00000034046;10090.ENSMUSP00000033634;10090.ENSMUSP00000104533;10090.ENSMUSP00000045291;10090.ENSMUSP00000046585;10090.ENSMUSP00000042352;10090.ENSMUSP00000034822;10090.ENSMUSP00000025048;10090.ENSMUSP00000025835;10090.ENSMUSP00000104936;10090.ENSMUSP00000069539;10090.ENSMUSP00000030345;10090.ENSMUSP00000024946;10090.ENSMUSP00000131735;10090.ENSMUSP00000021853;10090.ENSMUSP00000101944;10090.ENSMUSP00000092487;10090.ENSMUSP00000061126;10090.ENSMUSP00000030487;10090.ENSMUSP00000140857;10090.ENSMUSP00000139717;10090.ENSMUSP00000081369;10090.ENSMUSP00000081370;10090.ENSMUSP00000004232;10090.ENSMUSP00000087633;10090.ENSMUSP00000013458;10090.ENSMUSP00000005964;10090.ENSMUSP00000031411;10090.ENSMUSP00000073764;10090.ENSMUSP00000041260;10090.ENSMUSP00000133372;10090.ENSMUSP00000028004			C00010;C00024;C00071;C00136;C00154;C00162;C00226;C00229;C00249;C00332;C00340;C00435;C00489;C00517;C00527;C00638;C00823;C00877;C01144;C01371;C01832;C01944;C02593;C02990;C03221;C03547;C03561;C05102;C05258;C05259;C05260;C05261;C05262;C05263;C05264;C05265;C05266;C05267;C05268;C05269;C05270;C05271;C05272;C05273;C05274;C05275;C05276;C05279;C05280;C20683
mmu00100	Steroid biosynthesis		Metabolism;Lipid metabolism	10090.ENSMUSP00000055313;10090.ENSMUSP00000022977;10090.ENSMUSP00000046856;10090.ENSMUSP00000001507;10090.ENSMUSP00000025713;10090.ENSMUSP00000005003;10090.ENSMUSP00000034015;10090.ENSMUSP00000033715;10090.ENSMUSP00000027989;10090.ENSMUSP00000033509;10090.ENSMUSP00000038063;10090.ENSMUSP00000057354;10090.ENSMUSP00000073541;10090.ENSMUSP00000053270;10090.ENSMUSP00000028161;10090.ENSMUSP00000140721;10090.ENSMUSP00000023806;10090.ENSMUSP00000032908;10090.ENSMUSP00000130005;10090.ENSMUSP00000047954			C00187;C00448;C00751;C01054;C01164;C01189;C01561;C01673;C01694;C01724;C01753;C01789;C01802;C01902;C01943;C02141;C02530;C03428;C03845;C04525;C05103;C05107;C05108;C05109;C05437;C05439;C05440;C05441;C05442;C05443;C07712;C08813;C08821;C08830;C11455;C11508;C11522;C11523;C15776;C15777;C15780;C15781;C15782;C15783;C15808;C15816;C15915;C18231;C21106;C22112;C22116;C22119;C22120;C22121;C22122;C22123;C22136
mmu00120	Primary bile acid biosynthesis	Bile acids are steroid carboxylic acids derived from cholesterol in vertebrates. The primary bile acids, cholic acid and chenodeoxycholic acid, are synthesized in the liver and conjugated with taurine or glycine before secretion via bile into the intestine. The conversion from cholesterol to cholic and chenodeoxycholic acids involves four steps: 1) the initiation of synthesis by 7alpha-hydroxylation of sterol precursors, 2) further modifications to the ring structures, 3) side-chain oxidation and shortening (cleavage) by three carbons, and 4) conjugation of the bile acid with taurine or glycine.	Metabolism;Lipid metabolism	10090.ENSMUSP00000021684;10090.ENSMUSP00000130073;10090.ENSMUSP00000036245;10090.ENSMUSP00000049683;10090.ENSMUSP00000037487;10090.ENSMUSP00000029905;10090.ENSMUSP00000027356;10090.ENSMUSP00000052989;10090.ENSMUSP00000048830;10090.ENSMUSP00000032539;10090.ENSMUSP00000066915;10090.ENSMUSP00000126464;10090.ENSMUSP00000025385;10090.ENSMUSP00000030340;10090.ENSMUSP00000099383;10090.ENSMUSP00000041983;10090.ENSMUSP00000080256;10090.ENSMUSP00000092702			C00037;C00187;C00245;C00695;C01301;C01794;C01921;C02528;C03594;C04554;C04722;C05122;C05337;C05444;C05445;C05446;C05447;C05448;C05449;C05451;C05452;C05453;C05454;C05455;C05460;C05465;C05466;C05467;C05468;C06341;C13550;C15518;C15519;C15520;C15610;C15613;C15614;C17331;C17332;C17333;C17335;C17336;C17337;C17339;C17343;C17345;C17346
mmu00140	Steroid hormone biosynthesis	Steroid hormones derived from cholesterol are a class of biologically active compounds in vertebrates. The cholesterol side-chain cleavage enzyme CYP11A1 catalyzes conversion of cholesterol, a C27 compound, to the first C21 steroid, pregnenolone, which is converted by a bifunctional enzyme complex to the gestagen hormone, progesterone [MD:M00107]. Pregnenolone and progesterone are the starting materials for the three groups of steroids: C21 steroids of glucocorticoids and mineralocorticoids, C19 steroids of androgens, and C18 steroids of estrogens. (i) Progesterone is converted by hydroxylations at carbons 21 and 11 to corticosterone, which is further modified by hydroxylation and oxydoreduction at carbon 18 to yield aldosterone, a mineralcorticoid [MD:M00108]. Cortisol, the main glucocorticoid, is formed from 17alpha-hydroxyprogesterone with 11-deoxycortisol as an intermediate [MD:M00109]. (ii) Male hormone testosterone is formed from pregnenolone by two pathways, delta5 pathway via dehydroepiandrosterone and delta4 pathway via androstenedione [MD:M00110]. The enzyme CYP17A1 is responsible for the 17,20 lyase and 17alpha-hydroxylase activities in respective pathways. (iii) Female hormones estrone and estradiol are formed from testosterone and 4-androstene-3,17-dione by oxidative removal of the C19 methyl group and subsequent aromatization of ring A [MD:M00111]. In addition to these three groups, recent studies show that there is another group, termed neurosteroids, synthesized in the brain rather than the peripheral endocrine gland.	Metabolism;Lipid metabolism	10090.ENSMUSP00000034874;10090.ENSMUSP00000026012;10090.ENSMUSP00000075005;10090.ENSMUSP00000025223;10090.ENSMUSP00000041442;10090.ENSMUSP00000102636;10090.ENSMUSP00000102630;10090.ENSMUSP00000029463;10090.ENSMUSP00000055886;10090.ENSMUSP00000102632;10090.ENSMUSP00000089097;10090.ENSMUSP00000048862;10090.ENSMUSP00000031143;10090.ENSMUSP00000127888;10090.ENSMUSP00000131503;10090.ENSMUSP00000048830;10090.ENSMUSP00000016338;10090.ENSMUSP00000034363;10090.ENSMUSP00000021635;10090.ENSMUSP00000037487;10090.ENSMUSP00000031201;10090.ENSMUSP00000019445;10090.ENSMUSP00000034304;10090.ENSMUSP00000026462;10090.ENSMUSP00000027989;10090.ENSMUSP00000038069;10090.ENSMUSP00000028619;10090.ENSMUSP00000043467;10090.ENSMUSP00000034865;10090.ENSMUSP00000034860;10090.ENSMUSP00000072264;10090.ENSMUSP00000005669;10090.ENSMUSP00000077021;10090.ENSMUSP00000080846;10090.ENSMUSP00000076578;10090.ENSMUSP00000044722;10090.ENSMUSP00000025968;10090.ENSMUSP00000125217;10090.ENSMUSP00000026211;10090.ENSMUSP00000003137;10090.ENSMUSP00000060584;10090.ENSMUSP00000045362;10090.ENSMUSP00000025966;10090.ENSMUSP00000084489;10090.ENSMUSP00000084487;10090.ENSMUSP00000079065;10090.ENSMUSP00000048284;10090.ENSMUSP00000097071;10090.ENSMUSP00000023083;10090.ENSMUSP00000086530;10090.ENSMUSP00000072555;10090.ENSMUSP00000006094;10090.ENSMUSP00000105141;10090.ENSMUSP00000130338;10090.ENSMUSP00000060524;10090.ENSMUSP00000037665;10090.ENSMUSP00000031741;10090.ENSMUSP00000031633;10090.ENSMUSP00000065585;10090.ENSMUSP00000075234;10090.ENSMUSP00000069932;10090.ENSMUSP00000026552;10090.ENSMUSP00000024894;10090.ENSMUSP00000034811;10090.ENSMUSP00000029905;10090.ENSMUSP00000031251;10090.ENSMUSP00000068282;10090.ENSMUSP00000037258;10090.ENSMUSP00000108759;10090.ENSMUSP00000114583;10090.ENSMUSP00000073444;10090.ENSMUSP00000108767;10090.ENSMUSP00000058683;10090.ENSMUSP00000095263;10090.ENSMUSP00000031195;10090.ENSMUSP00000031183;10090.ENSMUSP00000108763;10090.ENSMUSP00000072803;10090.ENSMUSP00000031181;10090.ENSMUSP00000092233;10090.ENSMUSP00000072598;10090.ENSMUSP00000075255;10090.ENSMUSP00000031186;10090.ENSMUSP00000108764;10090.ENSMUSP00000111272;10090.ENSMUSP00000102582;10090.ENSMUSP00000132011			C00187;C00280;C00410;C00468;C00523;C00535;C00674;C00735;C00762;C00951;C01124;C01176;C01227;C01780;C01953;C02140;C02373;C02537;C02538;C03205;C03681;C03747;C03772;C03852;C03917;C03935;C04042;C04295;C04373;C04518;C04555;C04676;C05138;C05139;C05140;C05141;C05284;C05285;C05290;C05291;C05293;C05294;C05295;C05296;C05297;C05298;C05299;C05300;C05301;C05302;C05469;C05470;C05471;C05472;C05473;C05474;C05475;C05476;C05477;C05478;C05479;C05480;C05481;C05482;C05483;C05484;C05485;C05487;C05488;C05489;C05490;C05497;C05498;C05499;C05500;C05501;C05502;C05503;C05504;C08357;C08358;C08359;C11131;C11132;C11133;C11134;C11135;C11136;C13712;C13713;C18038;C18039;C18040;C18041;C18042;C18043;C18044;C18045;C18075
mmu00561	Glycerolipid metabolism		Metabolism;Lipid metabolism	10090.ENSMUSP00000047761;10090.ENSMUSP00000031411;10090.ENSMUSP00000073764;10090.ENSMUSP00000041260;10090.ENSMUSP00000133372;10090.ENSMUSP00000028004;10090.ENSMUSP00000007449;10090.ENSMUSP00000040244;10090.ENSMUSP00000100045;10090.ENSMUSP00000039114;10090.ENSMUSP00000030455;10090.ENSMUSP00000044556;10090.ENSMUSP00000119564;10090.ENSMUSP00000052226;10090.ENSMUSP00000067598;10090.ENSMUSP00000057635;10090.ENSMUSP00000049619;10090.ENSMUSP00000127325;10090.ENSMUSP00000031255;10090.ENSMUSP00000048573;10090.ENSMUSP00000028286;10090.ENSMUSP00000101028;10090.ENSMUSP00000024594;10090.ENSMUSP00000117025;10090.ENSMUSP00000068690;10090.ENSMUSP00000045441;10090.ENSMUSP00000106567;10090.ENSMUSP00000069670;10090.ENSMUSP00000065719;10090.ENSMUSP00000070583;10090.ENSMUSP00000105082;10090.ENSMUSP00000118610;10090.ENSMUSP00000067035;10090.ENSMUSP00000091557;10090.ENSMUSP00000026414;10090.ENSMUSP00000087371;10090.ENSMUSP00000057859;10090.ENSMUSP00000106934;10090.ENSMUSP00000037900;10090.ENSMUSP00000103526;10090.ENSMUSP00000099071;10090.ENSMUSP00000074290;10090.ENSMUSP00000027517;10090.ENSMUSP00000067591;10090.ENSMUSP00000023214;10090.ENSMUSP00000033001;10090.ENSMUSP00000028161;10090.ENSMUSP00000127149;10090.ENSMUSP00000043826;10090.ENSMUSP00000056377;10090.ENSMUSP00000045465;10090.ENSMUSP00000026081;10090.ENSMUSP00000034731;10090.ENSMUSP00000025680;10090.ENSMUSP00000066536;10090.ENSMUSP00000015712;10090.ENSMUSP00000031977;10090.ENSMUSP00000109215;10090.ENSMUSP00000007251;10090.ENSMUSP00000109152;10090.ENSMUSP00000064041;10090.ENSMUSP00000033621			C00029;C00040;C00093;C00103;C00111;C00116;C00162;C00173;C00184;C00197;C00258;C00416;C00422;C00577;C00631;C00641;C00681;C00969;C01885;C02133;C02457;C03692;C04046;C04315;C04872;C05401;C06037;C06038;C06040;C06041;C06042;C06364;C06365;C11521;C13508;C20897;C20898;C20991
