"ENSEMBL"	"wt6h_wt0h"	"wt24h_wt0h"	"wt48h_wt0h"	"wt336h_wt0h"	"wtRC12h_wt0h"	"ENTREZID"	"SYMBOL"	"GENENAME"	"TF"	"PC"	"gene_cluster"
"ENSMUSG00000050552"	-1.02320918039988	-0.310711132555305	0.237171205753318	0.000118567799510145	-0.139977916398672	"66096"	"Lamtor4"	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4"	"no"	"others"	"cluster 6"
"ENSMUSG00000056076"	1.50138129589133	0.267156673476841	0.592939046386246	-0.000361082310141395	0.377660425250377	"27979"	"Eif3b"	"eukaryotic translation initiation factor 3, subunit B"	"no"	"others"	"cluster 3"
"ENSMUSG00000036599"	-1.0723530193822	-0.55693087380849	-0.0474344666188236	-0.0170357202332684	-0.10261011767599	"59031"	"Chst12"	"carbohydrate sulfotransferase 12"	"no"	"others"	"cluster 6"
"ENSMUSG00000029570"	2.16344163908592	0.373716078651775	1.34451130616738	0.00433429699909897	1.14074940893595	"16848"	"Lfng"	"LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"	"no"	"others"	"cluster 2"
"ENSMUSG00000050022"	-1.85788543166779	-0.990603387421686	-1.00804847652569	-0.000516336715609205	-0.962625366276198	"231842"	"Amz1"	"archaelysin family metallopeptidase 1"	"no"	"PC1"	"cluster 7"
"ENSMUSG00000029581"	-0.176201832078085	-0.722434425019278	-1.00654852141086	-0.00260520784261512	-0.316264994691731	"14086"	"Fscn1"	"fascin actin-bundling protein 1"	"no"	"others"	"cluster 5"
"ENSMUSG00000029650"	-4.04631583429811	-1.11678809626781	-0.890512189219954	-0.00187636121647655	-1.13924608683256	"71706"	"Slc46a3"	"solute carrier family 46, member 3"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000032827"	-1.70597798761942	-0.636356821256426	-0.140697169086151	-0.00541356908200924	-0.244708560293761	"243725"	"Ppp1r9a"	"protein phosphatase 1, regulatory (inhibitor) subunit 9A"	"no"	"PC2"	"cluster 6"
"ENSMUSG00000029571"	-1.15356370633307	-0.0631281006516439	-0.624168450406437	-0.000745326276840369	-0.159081776599352	"71900"	"Tmem106b"	"transmembrane protein 106B"	"no"	"others"	"cluster 6"
"ENSMUSG00000029925"	-1.30287813055203	-0.610427362308307	-0.0811694540069095	-0.0018506427400307	-0.779851964970364	"21391"	"Tbxas1"	"thromboxane A synthase 1, platelet"	"no"	"others"	"cluster 7"
"ENSMUSG00000038507"	1.2666005848921	0.378780641282594	1.47691762366625	-0.00253939473595808	0.169477024415526	"243771"	"Parp12"	"poly (ADP-ribose) polymerase family, member 12"	"no"	"others"	"cluster 4"
"ENSMUSG00000042599"	1.01398357508888	0.821737097914	0.236368465405348	-0.00523738647908341	1.03314346328579	"338523"	"Kdm7a"	"lysine (K)-specific demethylase 7A"	"no"	"others"	"cluster 3"
"ENSMUSG00000029860"	1.60189249792841	0.644168004460092	0.356207608642545	0.00166312314281619	0.528008750262318	"22793"	"Zyx"	"zyxin"	"no"	"others"	"cluster 3"
"ENSMUSG00000068551"	-3.05059195253257	-0.594693816155193	0.122025371628353	-0.000602725294131359	-0.448429343623464	"68910"	"Zfp467"	"zinc finger protein 467"	"no"	"shared"	"cluster 8"
"ENSMUSG00000004633"	-1.7316374070102	-0.72407572773071	-0.899198054532908	0.0142396633452591	-0.564718106599379	"69993"	"Chn2"	"chimerin 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000049232"	1.17751877236902	0.606900035236486	0.121984506787576	-0.000248780070108992	0.310442781545953	"68140"	"Tigd2"	"tigger transposable element derived 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000029919"	-2.21685477571179	-0.415580813935412	-0.776091477393669	-0.000879032224782594	-0.874538700828364	"54486"	"Hpgds"	"hematopoietic prostaglandin D synthase"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000049553"	1.62293106370066	0.696277208403389	0.155216143359599	-0.000849805851416793	0.505958600909767	"20019"	"Polr1a"	"polymerase (RNA) I polypeptide A"	"no"	"others"	"cluster 3"
"ENSMUSG00000056091"	-1.8208644720234	-0.510212640679626	0.0973635219991803	-0.000172247213731258	-0.446558702762069	"20454"	"St3gal5"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"	"no"	"others"	"cluster 6"
"ENSMUSG00000053907"	1.63544980809763	0.515748873355469	-0.246719932772396	-0.0738662142552703	-0.521144520025891	"232087"	"Mat2a"	"methionine adenosyltransferase II, alpha"	"no"	"others"	"cluster 3"
"ENSMUSG00000030036"	1.05729639779949	0.0383122901724415	0.442103485379371	0.00155078695625086	0.562846253845465	"57377"	"Mogs"	"mannosyl-oligosaccharide glucosidase"	"no"	"others"	"cluster 3"
"ENSMUSG00000005667"	2.15146193649309	0.217830611523798	0.315760323524568	-0.00285022559634725	1.28232909278627	"17768"	"Mthfd2"	"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase"	"no"	"others"	"cluster 2"
"ENSMUSG00000034744"	-1.67417617315027	-0.595177374472689	0.0402744633162554	-0.0105062696418149	-0.82031481190343	"56174"	"Nagk"	"N-acetylglucosamine kinase"	"no"	"others"	"cluster 7"
"ENSMUSG00000033706"	1.81964906124278	0.16289158548159	-0.480248067181633	0.0017858999470821	0.0418086762468783	"232187"	"Smyd5"	"SET and MYND domain containing 5"	"no"	"others"	"cluster 3"
"ENSMUSG00000030047"	-1.27215230135956	-0.549467758794988	0.0177508275717718	0.00174841602146361	-0.112407418870139	"232201"	"Arhgap25"	"Rho GTPase activating protein 25"	"no"	"others"	"cluster 6"
"ENSMUSG00000030054"	-0.84348931552248	-0.875088076837041	-1.79310459534931	-0.00883781530238288	-1.72970474294817	"54368"	"Gp9"	"glycoprotein 9 (platelet)"	"no"	"PC2"	"cluster 7"
"ENSMUSG00000030062"	0.150274673874789	-0.0648685078865669	1.19575843262526	0.0063159523251842	0.523454771203455	"103963"	"Rpn1"	"ribophorin I"	"no"	"others"	"cluster 4"
"ENSMUSG00000033174"	-3.12247610626287	-0.551463726075419	-1.78857462267682	-0.0485227571432856	-1.57062861734147	"23945"	"Mgll"	"monoglyceride lipase"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000002871"	-1.21972147148578	-0.392103689908581	-0.0334138024667825	-0.0735362519797412	-0.40928433414627	"24100"	"Tpra1"	"transmembrane protein, adipocyte asscociated 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000030067"	-1.68136300232205	0.0159788512637847	-0.592002508036226	-0.000778800779322825	-0.255990752840795	"108655"	"Foxp1"	"forkhead box P1"	"no"	"others"	"cluster 7"
"ENSMUSG00000030272"	-1.95115174671027	-0.650730030976974	-0.0518810129961396	-0.00581563751361355	-0.843697903614453	"52163"	"Camk1"	"calcium/calmodulin-dependent protein kinase I"	"no"	"others"	"cluster 7"
"ENSMUSG00000025701"	-0.367353988237994	0.337861968415161	1.1460167691205	0.000889863246012586	1.5833869941362	"11689"	"Alox5"	"arachidonate 5-lipoxygenase"	"no"	"others"	"cluster 4"
"ENSMUSG00000045962"	1.03438682909917	0.412000542044214	-0.0945278293806115	0.000120206815782167	0.314318348919733	"232341"	"Wnk1"	"WNK lysine deficient protein kinase 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000040552"	1.2127113422537	1.13729261771109	0.575074403009312	-0.00203893483096445	0.736578081684218	"12267"	"C3ar1"	"complement component 3a receptor 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000049037"	2.58503311889995	3.45386787071102	3.37307402826277	0.00369073975620236	2.55596781511978	"269799"	"Clec4a1"	"C-type lectin domain family 4, member a1"	"no"	"shared"	"cluster 1"
"ENSMUSG00000030122"	-1.19106739527855	-0.299150275972015	-0.413749169178253	-0.00263418510679485	-0.792907440284046	"69202"	"Ptms"	"parathymosin"	"no"	"others"	"cluster 7"
"ENSMUSG00000072770"	-1.48029569111272	-0.272366694047989	-0.318202002769735	-0.00566588523271783	-0.239193792546647	"54137"	"Acrbp"	"proacrosin binding protein"	"no"	"others"	"cluster 6"
"ENSMUSG00000038279"	1.70796070240578	0.333317064976922	0.182135427250044	-0.0271647833048177	0.401218485601512	"110109"	"Nop2"	"NOP2 nucleolar protein"	"no"	"others"	"cluster 3"
"ENSMUSG00000030342"	-1.08789853057418	-0.935793365862956	-0.463315052797619	-0.00331932898831436	-1.19095095216391	"12527"	"Cd9"	"CD9 antigen"	"no"	"others"	"cluster 7"
"ENSMUSG00000030157"	1.87384910155884	0.605668051304943	0.954500748756592	0.00987745482736324	0.751484919198296	"93694"	"Clec2d"	"C-type lectin domain family 2, member d"	"no"	"others"	"cluster 2"
"ENSMUSG00000042770"	0.474610226754333	-0.0689745565427564	1.44503038585374	0.035766891756718	1.07817651890896	"15199"	"Hebp1"	"heme binding protein 1"	"no"	"others"	"cluster 4"
"ENSMUSG00000030213"	-1.28830155476855	-0.126461840571067	-0.513440711797649	6.85945546825853e-05	-0.478956223546183	"54343"	"Atf7ip"	"activating transcription factor 7 interacting protein"	"no"	"others"	"cluster 7"
"ENSMUSG00000030223"	-2.34461700159926	-0.448702957705603	-0.201600095033822	0.000189866713705106	-0.342338080656978	"19277"	"Ptpro"	"protein tyrosine phosphatase, receptor type, O"	"no"	"others"	"cluster 7"
"ENSMUSG00000030246"	-1.45041066221018	-0.535455844792227	-0.591891006525563	-0.00624003259600122	-0.918280992928727	"16832"	"Ldhb"	"lactate dehydrogenase B"	"no"	"others"	"cluster 7"
"ENSMUSG00000068566"	-1.17097356036165	-0.538880263174093	-0.340678461166634	-0.00940947782356098	-0.225989786658458	"50918"	"Myadm"	"myeloid-associated differentiation marker"	"no"	"others"	"cluster 6"
"ENSMUSG00000058818"	-0.0388512541246811	0.601528068197555	1.89310052220143	0.352508265298059	2.02200347919727	"18733"	"Pirb"	"paired Ig-like receptor B"	"no"	"others"	"cluster 4"
"ENSMUSG00000055541"	-1.90478701120595	-0.673809551635523	-0.287252777703835	0.000521110990617607	-1.01300425202058	"52855"	"Lair1"	"leukocyte-associated Ig-like receptor 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000059851"	-2.10084845230238	-0.485485958190602	0.449091745039398	0.00520818668349071	-0.255837503593422	"232811"	"Kmt5c"	"lysine methyltransferase 5C"	"no"	"others"	"cluster 6"
"ENSMUSG00000049130"	3.08682862261255	0.75537411915953	1.89495625316385	0.0150158875773465	4.15701039904089	"12273"	"C5ar1"	"complement component 5a receptor 1"	"no"	"shared"	"cluster 1"
"ENSMUSG00000002985"	-0.741983686292015	-0.0342851232650311	1.22570111732915	0.0703545575935198	1.0287802560882	"11816"	"Apoe"	"apolipoprotein E"	"no"	"others"	"cluster 4"
"ENSMUSG00000002984"	1.64413395965403	0.575902478075904	0.360760469999816	0.00101779377689587	0.580970472302858	"53333"	"Tomm40"	"translocase of outer mitochondrial membrane 40 homolog (yeast)"	"no"	"others"	"cluster 3"
"ENSMUSG00000053175"	3.47430633230183	2.46849741536976	2.96577698368701	0.00257318029735979	2.66969319476667	"12051"	"Bcl3"	"B cell leukemia/lymphoma 3"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000046223"	2.41477597785578	0.760671225650979	0.573504210914833	0.00529998784324978	1.20370362160695	"18793"	"Plaur"	"plasminogen activator, urokinase receptor"	"no"	"shared"	"cluster 2"
"ENSMUSG00000040952"	0.550441459739554	0.262115046689336	1.09733938079468	0.000488679936955403	0.296154667852456	"20085"	"Rps19"	"ribosomal protein S19"	"no"	"others"	"cluster 4"
"ENSMUSG00000060376"	-2.00338555533371	-0.541514330144616	-0.772978514638368	-0.00827172068394818	-1.02745189640776	"12039"	"Bckdha"	"branched chain ketoacid dehydrogenase E1, alpha polypeptide"	"no"	"others"	"cluster 7"
"ENSMUSG00000002603"	-1.29307521897216	-0.600171940630527	-0.882955906298239	-0.0119199373978829	-0.762206703614519	"21803"	"Tgfb1"	"transforming growth factor, beta 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000002602"	-0.130234734883106	0.0422432499740739	2.10204891178737	0.00491537320521407	-0.120215166287259	"26362"	"Axl"	"AXL receptor tyrosine kinase"	"no"	"others"	"cluster 4"
"ENSMUSG00000058709"	0.603371736924225	1.02184800746776	-0.0351695576767679	-0.00329611081460673	-0.0274038402561129	"112406"	"Egln2"	"egl-9 family hypoxia-inducible factor 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000030603"	1.00890383182949	0.181822422282591	0.48008236245282	0.00148096945289521	0.268948487743916	"23996"	"Psmc4"	"proteasome (prosome, macropain) 26S subunit, ATPase, 4"	"no"	"others"	"cluster 3"
"ENSMUSG00000003438"	1.03132546351765	0.354010654275565	-0.0122315316581827	-0.000677714565672269	0.0709727245007947	"66525"	"Timm50"	"translocase of inner mitochondrial membrane 50"	"no"	"others"	"cluster 3"
"ENSMUSG00000044786"	1.10350068839286	0.213325178009259	0.369688338770421	-0.00990411669491967	-0.318023519656607	"22695"	"Zfp36"	"zinc finger protein 36"	"no"	"others"	"cluster 3"
"ENSMUSG00000009687"	0.245306660757624	2.38968593103421	4.935461435323	0.00549121683804128	2.22535367332387	"18301"	"Fxyd5"	"FXYD domain-containing ion transport regulator 5"	"no"	"PC2"	"cluster 1"
"ENSMUSG00000019194"	-1.03194590664168	-0.429570369382192	0.145417856256749	-0.00350029062890476	0.0513739433129828	"20266"	"Scn1b"	"sodium channel, voltage-gated, type I, beta"	"no"	"others"	"cluster 6"
"ENSMUSG00000054676"	1.21081310563855	-0.0823716876644807	0.963686743014814	-0.00101871666280624	0.689259899052826	"72244"	"1600014C10Rik"	"RIKEN cDNA 1600014C10 gene"	"no"	"others"	"cluster 4"
"ENSMUSG00000064023"	-0.700088282318982	-0.589703244196237	-1.09713595976949	0.00879477242162874	-0.517304601111789	"259277"	"Klk8"	"kallikrein related-peptidase 8"	"no"	"others"	"cluster 7"
"ENSMUSG00000045411"	1.5457397403861	0.200049629459327	0.0085020986460023	-0.0789554957110545	0.244927484137227	"668661"	"2410002F23Rik"	"RIKEN cDNA 2410002F23 gene"	"no"	"others"	"cluster 3"
"ENSMUSG00000038520"	-1.25858371177211	-0.295035045559489	-0.623329048989442	0.00127092444784602	-0.660887426010073	"233204"	"Tbc1d17"	"TBC1 domain family, member 17"	"no"	"others"	"cluster 7"
"ENSMUSG00000109324"	1.13099848487124	0.311120426966019	-0.22563765408214	-0.00106101264771742	0.143281657091692	"15469"	"Prmt1"	"protein arginine N-methyltransferase 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000040212"	0.512485121651192	0.283843923436395	1.46786375015211	-0.00945222045050183	0.295327455456546	"13732"	"Emp3"	"epithelial membrane protein 3"	"no"	"others"	"cluster 4"
"ENSMUSG00000030835"	1.31261416991095	0.340322679998455	0.46023569380745	0.00414632493674875	0.273599135605964	"211548"	"Nomo1"	"nodal modulator 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000040026"	4.82230253992857	4.5632405372883	5.45984692322893	0.683094842055576	7.21298837945621	"20210"	"Saa3"	"serum amyloid A 3"	"no"	"shared"	"cluster 1"
"ENSMUSG00000063229"	1.81090530235633	0.196575164444272	0.695168467196018	-0.000755442058374948	0.832865033779931	"16828"	"Ldha"	"lactate dehydrogenase A"	"no"	"others"	"cluster 2"
"ENSMUSG00000010307"	-1.02857176572427	-0.343645636066423	0.127786176559385	-0.000282351584039244	-0.53649852403419	"67893"	"Tmem86a"	"transmembrane protein 86A"	"no"	"others"	"cluster 6"
"ENSMUSG00000052512"	-2.62494709946376	-0.69217432794179	-0.82013092746014	0.00109610154660859	-1.56558809165814	"78286"	"Nav2"	"neuron navigator 2"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000051504"	-1.3166242465967	-0.608126502284448	-1.56566538919394	-0.000604029902376583	-1.68577011803783	"233274"	"Siglech"	"sialic acid binding Ig-like lectin H"	"no"	"shared"	"cluster 7"
"ENSMUSG00000033790"	-1.0031283677725	-0.104719832202731	-0.606150565641812	-0.00537015639174003	-0.554788139026762	"233276"	"Tubgcp5"	"tubulin, gamma complex associated protein 5"	"no"	"others"	"cluster 7"
"ENSMUSG00000030447"	-0.701726794221001	-0.494086434094611	-0.806312463311349	-0.00591452284920997	-1.05359690687421	"20430"	"Cyfip1"	"cytoplasmic FMR1 interacting protein 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000048897"	-1.16621108657259	-0.490915531922076	-0.387992576390856	-0.00270991238228555	-0.384840157020784	"209225"	"Zfp710"	"zinc finger protein 710"	"no"	"others"	"cluster 6"
"ENSMUSG00000030541"	-1.62755596738717	-1.02043703144216	-0.453287588738245	-0.00366573162269578	-0.516168268196505	"269951"	"Idh2"	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"	"no"	"others"	"cluster 7"
"ENSMUSG00000030538"	-1.27830764805292	-0.287086074056036	-0.465613616628909	-0.0258658026724622	-0.311257675741288	"23991"	"Cib1"	"calcium and integrin binding 1 (calmyrin)"	"no"	"others"	"cluster 6"
"ENSMUSG00000001741"	-1.67311004596482	-0.373405390185675	-0.561505392902304	0.00129170613555535	-0.211444009281544	"16170"	"Il16"	"interleukin 16"	"no"	"others"	"cluster 7"
"ENSMUSG00000030629"	-1.03556977708855	-0.20273529924479	-0.0263174642722003	-0.00128009824272799	-0.0996712368163044	"65098"	"Zfand6"	"zinc finger, AN1-type domain 6"	"no"	"others"	"cluster 6"
"ENSMUSG00000030560"	1.12297526755125	0.499351978214171	1.26610286769399	0.0171964911686198	1.13566559919475	"13032"	"Ctsc"	"cathepsin C"	"no"	"others"	"cluster 4"
"ENSMUSG00000039428"	-1.14093789900614	-0.457692077656179	-0.704880403106738	-0.00486800505837642	-0.607829945636966	"72759"	"Tmem135"	"transmembrane protein 135"	"no"	"others"	"cluster 7"
"ENSMUSG00000097585"	-1.38843760356904	-0.596844633218669	-0.488017477891985	0.00430166955185646	-0.517027639277285	"319711"	"E230029C05Rik"	"RIKEN cDNA E230029C05 gene"	"no"	"others"	"cluster 7"
"ENSMUSG00000087412"	0.421167598334854	0.235622785228783	1.0278164085125	-0.0030269645932051	0.872737828624096	NA	"14692"	NA	"no"	"others"	"cluster 4"
"ENSMUSG00000035713"	-2.10900528703028	-0.64973249055052	-0.415656283397274	0.00647570695696393	-1.22759252296256	"244144"	"Usp35"	"ubiquitin specific peptidase 35"	"no"	"others"	"cluster 8"
"ENSMUSG00000035686"	-3.55858232605589	-1.87720054045309	-0.611402301574408	0.00414986598100494	-2.38112289093918	"21835"	"Thrsp"	"thyroid hormone responsive"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000030774"	-1.18223485199768	-0.4550484470058	-0.139085805286513	0.000683098157070558	-0.448836520437704	"18479"	"Pak1"	"p21 protein (Cdc42/Rac)-activated kinase 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000035401"	-1.02972164690855	-0.0624809736844121	-0.513192759212706	0.000895681101470614	-0.139106327197527	"233545"	"Emsy"	"EMSY, BRCA2-interacting transcriptional repressor"	"no"	"others"	"cluster 6"
"ENSMUSG00000018909"	-2.07119010634426	-0.420084865290036	-0.455016346202119	-0.00284764324053139	-0.435707343839217	"109689"	"Arrb1"	"arrestin, beta 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000058761"	2.63269730166058	2.2135167667946	0.430392805466573	0.00536177334559231	1.21499765712557	"108937"	"Rnf169"	"ring finger protein 169"	"no"	"shared"	"cluster 2"
"ENSMUSG00000033685"	1.35085294779034	0.671238539716001	0.736232794158592	-0.00259065421563588	0.976337804874373	"22228"	"Ucp2"	"uncoupling protein 2 (mitochondrial, proton carrier)"	"no"	"others"	"cluster 2"
"ENSMUSG00000030691"	-1.481890958126	-0.445217377840417	-0.367059452956644	0.000978723612746485	-0.547328540277314	"207278"	"Fchsd2"	"FCH and double SH3 domains 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000032737"	-1.24523441484344	-0.540647991592206	0.269840150763372	0.00929333803350962	-0.116702500267767	"16332"	"Inppl1"	"inositol polyphosphate phosphatase-like 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000066306"	-1.21443565752703	-0.358900269833724	-0.454994006769908	0.00645773299823906	-0.21460153707317	"101706"	"Numa1"	"nuclear mitotic apparatus protein 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000030921"	1.44937447635722	0.64366199430511	0.187580892523827	-0.00122461507907665	-0.0326354495001745	"20128"	"Trim30a"	"tripartite motif-containing 30A"	"no"	"others"	"cluster 3"
"ENSMUSG00000063286"	0.723901360431662	1.0757932991089	0.283348357334448	0.00456399641078067	0.529004187121557	NA	"12405"	NA	"no"	"others"	"cluster 3"
"ENSMUSG00000031024"	1.75141267151635	0.597257077734849	1.87523741412137	0.00268849958020236	0.90704712266957	"76954"	"St5"	"suppression of tumorigenicity 5"	"no"	"PC2"	"cluster 2"
"ENSMUSG00000066232"	1.31572104119849	0.489944307858564	0.0995995008421368	0.00251492738429527	0.362978201707645	"233726"	"Ipo7"	"importin 7"	"no"	"others"	"cluster 3"
"ENSMUSG00000035064"	-2.47559797148478	-0.605163339982089	-0.761151869867381	-0.000636733704291897	-0.636409010803117	"13631"	"Eef2k"	"eukaryotic elongation factor-2 kinase"	"no"	"others"	"cluster 8"
"ENSMUSG00000035004"	2.26956464698239	1.63841468816843	1.69455778699805	0.019301941452296	2.40622036773351	"80719"	"Igsf6"	"immunoglobulin superfamily, member 6"	"no"	"shared"	"cluster 1"
"ENSMUSG00000030766"	-1.30344522318357	-0.412851238545009	-0.224239819762007	-0.00320969496645015	-0.639182363331326	"70497"	"Arhgap17"	"Rho GTPase activating protein 17"	"no"	"others"	"cluster 7"
"ENSMUSG00000030748"	3.08026285470769	0.985655170368611	2.02391361372829	-1.19079617751197e-05	1.73153476663714	"16190"	"Il4ra"	"interleukin 4 receptor, alpha"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000030711"	-0.0118498674214317	0.125165727989198	0.761141493475186	0.00662433906198548	1.40644139851622	"20887"	"Sult1a1"	"sulfotransferase family 1A, phenol-preferring, member 1"	"no"	"others"	"cluster 4"
"ENSMUSG00000047721"	0.593201596665229	0.552942807691041	1.40021344772518	0.00196941410594928	0.63209503709236	"66162"	"Bola2"	"bolA-like 2 (E. coli)"	"no"	"others"	"cluster 4"
"ENSMUSG00000063065"	-1.04660608813246	-0.101969536200378	-0.146956523047038	-0.00830916237098198	-0.47603132167589	"26417"	"Mapk3"	"mitogen-activated protein kinase 3"	"no"	"others"	"cluster 6"
"ENSMUSG00000042675"	-3.51295943261793	-0.85419271607399	-0.147857625338425	0.00389457490939219	-0.425990026790348	"66090"	"Ypel3"	"yippee like 3"	"no"	"shared"	"cluster 8"
"ENSMUSG00000030681"	1.76111294779106	0.736094659236177	0.499176056383947	-0.00203526168217327	0.419234808633388	"78388"	"Mvp"	"major vault protein"	"no"	"others"	"cluster 2"
"ENSMUSG00000030844"	-1.73867708906155	-0.839472553748483	-0.542051023132385	-0.0047174820267174	-1.3956195474448	"67865"	"Rgs10"	"regulator of G-protein signalling 10"	"no"	"PC1"	"cluster 7"
"ENSMUSG00000041836"	-2.4494195291698	-0.42317306476191	-0.648576110732534	-0.00629395045824366	-0.683478740844534	"19267"	"Ptpre"	"protein tyrosine phosphatase, receptor type, E"	"no"	"shared"	"cluster 8"
"ENSMUSG00000041775"	-1.09267471562807	-0.404783302692895	-0.608932584625892	0.00626364825410866	-0.1792620551163	"69546"	"Mapk1ip1"	"mitogen-activated protein kinase 1 interacting protein 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000025492"	2.63616232701156	2.41882449824849	3.28854134883673	0.00241257878289812	0.371259551397268	"66141"	"Ifitm3"	"interferon induced transmembrane protein 3"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000025498"	3.16457528527544	1.43018491512756	3.78836268239818	0.00234201234312551	0.263856730085606	"54123"	"Irf7"	"interferon regulatory factor 7"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000019082"	2.08177821404121	0.266704230876265	1.27226382282037	-0.0155478493460564	0.180198319122265	"68267"	"Slc25a22"	"solute carrier family 25 (mitochondrial carrier, glutamate), member 22"	"no"	"others"	"cluster 2"
"ENSMUSG00000018819"	-0.563502556793289	-0.136331042044901	-1.02998668302114	-0.0129514384332786	-0.314609455981314	"16985"	"Lsp1"	"lymphocyte specific 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000045752"	1.42016894601747	0.545861321792841	0.258750372673837	-0.00465600627746538	0.0273722080260385	"56844"	"Tssc4"	"tumor-suppressing subchromosomal transferable fragment 4"	"no"	"others"	"cluster 3"
"ENSMUSG00000101609"	1.01039800125477	0.289938769069683	-0.175538879283509	0.017041643122069	0.30038995049793	"63830"	"Kcnq1ot1"	"KCNQ1 overlapping transcript 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000019832"	1.26542316946411	0.210171847117941	1.1934772762603	0.0107746675316584	1.92159667225547	"67844"	"Rab32"	"RAB32, member RAS oncogene family"	"no"	"others"	"cluster 4"
"ENSMUSG00000019806"	1.53323861223581	-0.0375358460258278	-0.0525762700386163	-0.00184083128928049	0.0637716641149841	"66253"	"Aig1"	"androgen-induced 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000015501"	1.39962806934835	0.460689168521893	0.51148561210551	-0.0118255737647142	-0.0711203207508187	"15273"	"Hivep2"	"human immunodeficiency virus type I enhancer binding protein 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000039910"	1.74995432806957	1.0479950859414	0.12585736911905	0.00540934579809544	0.125441165575829	"17684"	"Cited2"	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"	"no"	"PC2"	"cluster 3"
"ENSMUSG00000019850"	2.54138437517461	1.62178479634044	0.283722407237078	-0.00215851519671573	0.107918882165772	"21929"	"Tnfaip3"	"tumor necrosis factor, alpha-induced protein 3"	"no"	"shared"	"cluster 2"
"ENSMUSG00000019970"	1.00790012247461	-0.128032129408895	-0.699414143478967	-0.0124714092891852	-0.858586637604033	"20393"	"Sgk1"	"serum/glucocorticoid regulated kinase 1"	"no"	"PC2"	"cluster 5"
"ENSMUSG00000019978"	-1.09553386152986	-0.469105938168635	-0.373842483198127	0.00093550987949638	-0.733235966581503	"13822"	"Epb41l2"	"erythrocyte membrane protein band 4.1 like 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000069662"	-1.09255953523752	-0.228391365787422	-0.834483174863995	-0.00569598696958147	-0.725707598471308	"17118"	"Marcks"	"myristoylated alanine rich protein kinase C substrate"	"no"	"others"	"cluster 7"
"ENSMUSG00000019818"	0.267390327783073	-0.147545469670397	-1.25106088672253	-0.0204673159118955	-0.195304191363289	"53599"	"Cd164"	"CD164 antigen"	"no"	"others"	"cluster 5"
"ENSMUSG00000038332"	-0.89991363479765	-0.0293565273559077	-0.497014683356014	-0.0112655538752078	-1.03361465980458	"140742"	"Sesn1"	"sestrin 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000003746"	1.36938260902271	0.246785494688693	-0.0570560487523225	0.00632234606280351	0.352878931891339	"17155"	"Man1a"	"mannosidase 1, alpha"	"no"	"others"	"cluster 3"
"ENSMUSG00000019920"	-1.14435509662576	-0.137425184502962	-1.24546489468112	-0.000491311137277464	-1.14530895140262	"110829"	"Lims1"	"LIM and senescent cell antigen-like domains 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000020108"	2.16968170805426	0.771349252312276	0.655997636184404	0.00522869231134992	1.64667245621893	"74747"	"Ddit4"	"DNA-damage-inducible transcript 4"	"no"	"shared"	"cluster 2"
"ENSMUSG00000020101"	-1.84257399113137	-0.707409875354777	-0.484494140228683	-0.00525694845037942	-0.307506033882083	"74048"	"Vsir"	"V-set immunoregulatory receptor"	"no"	"others"	"cluster 7"
